Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status
TQ | Pesquisa | Hardware e PCB,Desenvolvimento de Hardware,desenvolvimento de hardware,Phrase,6.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,Firmware Embarcado,desenvolvimento de software embarcado,Phrase,6.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,Firmware Embarcado,desenvolvimento de software embarcado,Exact,6.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,Firmware Embarcado,empresa de sistemas embarcados,Phrase,6.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,Firmware Embarcado,empresa de sistemas embarcados,Exact,6.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,programação esp32,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,programação esp32,Exact,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,desenvolvimento com esp32,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,desenvolvimento com esp32,Exact,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,firmware esp32,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,firmware esp32,Exact,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,desenvolvimento mqtt,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,desenvolvimento mqtt,Exact,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,integração modbus,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,integração modbus,Exact,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,comunicação modbus industrial,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,comunicação modbus industrial,Exact,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,firmware com wifi e bluetooth,Phrase,5.00,Enabled
TQ | Pesquisa | Firmware e Embarcados,ESP32 e Protocolos,firmware com wifi e bluetooth,Exact,5.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,empresa de automação industrial,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,empresa de automação industrial,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,automação industrial sob medida,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,automação industrial sob medida,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,projeto de automação industrial,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,projeto de automação industrial,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,serviços de automação industrial,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,serviços de automação industrial,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,automação industrial personalizada,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,automação industrial personalizada,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,integrador de automação industrial,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,integrador de automação industrial,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,empresa de automação industrial em ribeirão preto,Phrase,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação Industrial,empresa de automação industrial em ribeirão preto,Exact,8.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,automação de máquinas,Phrase,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,automação de máquinas,Exact,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,automação de processos industriais,Phrase,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,automação de processos industriais,Exact,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,sistema de controle de máquinas,Phrase,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,sistema de controle de máquinas,Exact,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,controle de motores e bombas,Phrase,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,controle de motores e bombas,Exact,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,automação de equipamentos,Phrase,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,automação de equipamentos,Exact,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,sistema de controle eletrônico,Phrase,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Automação de Máquinas,sistema de controle eletrônico,Exact,7.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,soluções indústria 4.0,Phrase,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,soluções indústria 4.0,Exact,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,indústria 4.0 para empresas,Phrase,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,indústria 4.0 para empresas,Exact,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,projeto indústria 4.0,Phrase,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,projeto indústria 4.0,Exact,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,digitalização da indústria,Phrase,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,digitalização da indústria,Exact,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,transformação digital industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,transformação digital industrial,Exact,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,empresa de indústria 4.0,Phrase,6.00,Enabled
TQ | Pesquisa | Automação Industrial,Indústria 4.0,empresa de indústria 4.0,Exact,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,iot industrial,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,iot industrial,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,soluções iot industrial,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,soluções iot industrial,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,empresa de iot,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,empresa de iot,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,desenvolvimento iot,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,desenvolvimento iot,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,sensores iot industriais,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,sensores iot industriais,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,gateway iot industrial,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,gateway iot industrial,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,rede de sensores conectados,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,IoT Industrial,rede de sensores conectados,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,monitoramento remoto de equipamentos,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,monitoramento remoto de equipamentos,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,sistema de monitoramento remoto,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,sistema de monitoramento remoto,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,telemetria de equipamentos,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,telemetria de equipamentos,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,monitoramento remoto industrial,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,monitoramento remoto industrial,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,monitoramento de máquinas em tempo real,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,monitoramento de máquinas em tempo real,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,alerta de falha em equipamento,Phrase,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Monitoramento Remoto,alerta de falha em equipamento,Exact,7.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,manutenção preditiva industrial,Phrase,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,manutenção preditiva industrial,Exact,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,monitoramento de ativos industriais,Phrase,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,monitoramento de ativos industriais,Exact,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,manutenção industrial com sensores,Phrase,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,manutenção industrial com sensores,Exact,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,reduzir parada de máquina,Phrase,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,reduzir parada de máquina,Exact,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,monitoramento de manutenção industrial,Phrase,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,monitoramento de manutenção industrial,Exact,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,sistema de manutenção preditiva,Phrase,6.00,Enabled
TQ | Pesquisa | IoT e Monitoramento,Manutenção e Preditiva,sistema de manutenção preditiva,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,desenvolvimento de aplicativo para equipamento,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,desenvolvimento de aplicativo para equipamento,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,aplicativo para controlar equipamento,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,aplicativo para controlar equipamento,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,aplicativo de monitoramento industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,aplicativo de monitoramento industrial,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,desenvolvimento de aplicativo iot,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,desenvolvimento de aplicativo iot,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,app bluetooth para equipamento,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,app bluetooth para equipamento,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,aplicativo para máquina industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Aplicativos Conectados,aplicativo para máquina industrial,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,dashboard de monitoramento industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,dashboard de monitoramento industrial,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,desenvolvimento de dashboard,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,desenvolvimento de dashboard,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,sistema de gestão de equipamentos,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,sistema de gestão de equipamentos,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,painel de dados industriais,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,painel de dados industriais,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,software de telemetria,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,software de telemetria,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,dashboard para equipamentos,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Sistemas e Dashboards,dashboard para equipamentos,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,desenvolvimento de software industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,desenvolvimento de software industrial,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,software para equipamentos,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,software para equipamentos,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,software sob medida para indústria,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,software sob medida para indústria,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,integração de sistemas industriais,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,integração de sistemas industriais,Exact,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,software de controle industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Software Apps e Dashboards,Software Para Equipamentos,software de controle industrial,Exact,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,diagnóstico de placa eletrônica,Phrase,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,diagnóstico de placa eletrônica,Exact,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,análise de falha em eletrônica,Phrase,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,análise de falha em eletrônica,Exact,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,falha de comunicação em equipamento,Phrase,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,falha de comunicação em equipamento,Exact,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,problema de ruído elétrico em placa,Phrase,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,problema de ruído elétrico em placa,Exact,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,revisão de projeto eletrônico,Phrase,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,revisão de projeto eletrônico,Exact,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,análise de falha em firmware,Phrase,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Diagnóstico de Eletrônica,análise de falha em firmware,Exact,7.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em eletrônica,Phrase,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em eletrônica,Exact,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em firmware,Phrase,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em firmware,Exact,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em automação industrial,Phrase,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em automação industrial,Exact,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria técnica em projeto eletrônico,Phrase,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria técnica em projeto eletrônico,Exact,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em sistemas embarcados,Phrase,6.00,Enabled
TQ | Pesquisa | Diagnóstico Técnico,Consultoria Técnica,consultoria em sistemas embarcados,Exact,6.00,Enabled
